source_object_id,dataset_id,evidence_type,path,source_url,acquired_utc,bytes,sha256,md5,file_type,immutability_status,notes
M01R_SRC001,GSE134431,SUPPLEMENTARY_ARCHIVE,03_data/raw_external_READ_ONLY/primary_evidence/M01_remaining_datasets/PMC7495445_supplementaryFiles.zip,https://www.ebi.ac.uk/europepmc/webservices/rest/PMC7495445/supplementaryFiles,2026-08-25,6358017,3cc3056959b7b9438baefa08f18fe65dd53f81e80a47c94a982be3c9a2bc4815,,ZIP,READ_ONLY_VERIFIED,Official Europe PMC supplementary-files archive
M01R_SRC002,GSE134431,SOURCE_DATA_WORKBOOK,03_data/raw_external_READ_ONLY/primary_evidence/M01_remaining_datasets/PMC7495445_supplementaryFiles/41467_2020_18276_MOESM3_ESM.xlsx,https://www.ebi.ac.uk/europepmc/webservices/rest/PMC7495445/supplementaryFiles,2026-08-25,19600,8b55ddf27b2ebc6f5b48df89af0cbb5f57eb6b8d42d42e681b68ce989e61f52f,,XLSX,READ_ONLY_VERIFIED,Extracted without modification from M01R_SRC001
M01R_SRC003,GSE134431,PRIMARY_FULLTEXT,03_data/raw_external_READ_ONLY/primary_evidence/M01_remaining_datasets/GSE134431_PMC7495445_fullTextXML.xml,https://www.ebi.ac.uk/europepmc/webservices/rest/PMC7495445/fullTextXML,2026-08-25,147702,92cf61918ba11fd975ec00033918560b7b243bc71a86fd78b57385f8eaefbd69,,XML,READ_ONLY_VERIFIED,Open-access article full text
M01R_SRC004,GSE143735,PRIMARY_FULLTEXT,03_data/raw_external_READ_ONLY/primary_evidence/M01_remaining_datasets/GSE143735_PMC7506837_fulltext.html,https://pmc.ncbi.nlm.nih.gov/articles/PMC7506837/?report=xml,2026-08-25,231294,da22aae10c869b94bdff5bacdbf95fccda94db25d16b9311f09806562c1a032b,,HTML,READ_ONLY_VERIFIED,PMC article snapshot; endpoint returned HTML
M01R_SRC005,GSE143735,SUPPLEMENTARY_PDF,03_data/raw_external_READ_ONLY/primary_evidence/M01_remaining_datasets/GSE143735_Figshare_12733235_Supplementary_data.pdf,https://ndownloader.figshare.com/files/24103196,2026-08-25,3149719,0672cb3b95a4de1fd895db48d0ed642c28a171ab07518b3523f2ea4c5ea17a2f,f524d368121f373ba9aeef910abba880,PDF,READ_ONLY_VERIFIED,Figshare supplied MD5 matched; Supplementary Table 5 visually reviewed
M01R_SRC006,GSE165816,SUPPLEMENTARY_ARCHIVE,03_data/raw_external_READ_ONLY/primary_evidence/M01_remaining_datasets/PMC8748704_supplementaryFiles.zip,https://www.ebi.ac.uk/europepmc/webservices/rest/PMC8748704/supplementaryFiles,2026-08-25,22187590,c734a213cff7e8698bd4313cd4f24793e4a6158a268fcae053a3962b9a9d3203,,ZIP,READ_ONLY_VERIFIED,Official Europe PMC supplementary-files archive
M01R_SRC007,GSE165816,PARTICIPANT_SAMPLE_WORKBOOK,03_data/raw_external_READ_ONLY/primary_evidence/M01_remaining_datasets/PMC8748704_supplementaryFiles/41467_2021_27801_MOESM4_ESM.xlsx,https://www.ebi.ac.uk/europepmc/webservices/rest/PMC8748704/supplementaryFiles,2026-08-25,14225,f40c571ab82aa6f5ff57a24fd9508b1506407f58313524b5aa6815e113e57584,,XLSX,READ_ONLY_VERIFIED,Extracted without modification from M01R_SRC006; participant/sample mapping authority
M01R_SRC008,GSE165816,CELL_MARKER_WORKBOOK,03_data/raw_external_READ_ONLY/primary_evidence/M01_remaining_datasets/PMC8748704_supplementaryFiles/41467_2021_27801_MOESM5_ESM.xlsx,https://www.ebi.ac.uk/europepmc/webservices/rest/PMC8748704/supplementaryFiles,2026-08-25,15083,211ab4e1a2ea76ff15326892406da11748da696140117bc163e6b24f51af1714,,XLSX,READ_ONLY_VERIFIED,Extracted without modification from M01R_SRC006; not used for participant mapping
M01R_SRC009,GSE165816,CELL_MARKER_WORKBOOK,03_data/raw_external_READ_ONLY/primary_evidence/M01_remaining_datasets/PMC8748704_supplementaryFiles/41467_2021_27801_MOESM6_ESM.xlsx,https://www.ebi.ac.uk/europepmc/webservices/rest/PMC8748704/supplementaryFiles,2026-08-25,13075,ba0e6a230e945ec67b611a42e2b33899f38a3922be3a0f626de5b5597c75144e,,XLSX,READ_ONLY_VERIFIED,Extracted without modification from M01R_SRC006; not used for participant mapping
M01R_SRC010,GSE165816,CELL_MARKER_WORKBOOK,03_data/raw_external_READ_ONLY/primary_evidence/M01_remaining_datasets/PMC8748704_supplementaryFiles/41467_2021_27801_MOESM7_ESM.xlsx,https://www.ebi.ac.uk/europepmc/webservices/rest/PMC8748704/supplementaryFiles,2026-08-25,12753,0cb1d373da521d727b3beb7404d1b800213759b1e1227a5bdb4c46a10939ce32,,XLSX,READ_ONLY_VERIFIED,Extracted without modification from M01R_SRC006; not used for participant mapping
M01R_SRC011,GSE165816,FIGURE_SOURCE_WORKBOOK,03_data/raw_external_READ_ONLY/primary_evidence/M01_remaining_datasets/PMC8748704_supplementaryFiles/41467_2021_27801_MOESM9_ESM.xlsx,https://www.ebi.ac.uk/europepmc/webservices/rest/PMC8748704/supplementaryFiles,2026-08-25,262895,6c2e7d6574bf454c7f18e7d0f1e278ab98bd89ef3cb41dc8e60944f56dc8c14d,,XLSX,READ_ONLY_VERIFIED,Extracted without modification from M01R_SRC006; not used for participant mapping
M01R_SRC012,GSE165816,PRIMARY_FULLTEXT,03_data/raw_external_READ_ONLY/primary_evidence/M01_remaining_datasets/GSE165816_PMC8748704_fullTextXML.xml,https://www.ebi.ac.uk/europepmc/webservices/rest/PMC8748704/fullTextXML,2026-08-25,195014,1465507ce8d9b675e0eead25d0540eaddc2d1c9678d07dc91de64edff80d8fad,,XML,READ_ONLY_VERIFIED,Open-access article full text
M01R_SRC013,GSE199939,PRIMARY_PUBLICATION_RECORD,03_data/raw_external_READ_ONLY/primary_evidence/M01_remaining_datasets/GSE199939_PMID39079197_PubMed.xml,https://eutils.ncbi.nlm.nih.gov/entrez/eutils/efetch.fcgi?db=pubmed&id=39079197&retmode=xml,2026-08-25,11729,e682572ce195f7d2cdc582e613b2eb9c65ace0d3bb48de4a33905e876131f26d,,XML,READ_ONLY_VERIFIED,PubMed record; full methods not openly available
