object_id,path,role,size_bytes,modified_utc,sha256,status,notes
G165C0001,GSM5050521_G1counts.csv.gz,COPIED_SOURCE,5450380,2021-01-29T19:02:59+00:00,630ad42f37d46b00a742d35d7e1d01fc84da376073c6e3a326b5be701ab1e435,PRESENT,
G165C0002,GSM5050522_G1Acounts.csv.gz,COPIED_SOURCE,1737626,2021-01-29T19:03:00+00:00,301d63cc153b77d2daa71adb86022fd4cec67aaeaa94849d6e4f53ee78b78ab1,PRESENT,
G165C0003,GSM5050523_G2counts.csv.gz,COPIED_SOURCE,8813478,2021-01-29T19:03:05+00:00,d648bf8e4c767a6131ec760d90daeff01efa8deb5753d43f95088909cc034d08,PRESENT,
G165C0004,GSM5050524_G2Acounts.csv.gz,COPIED_SOURCE,1198641,2021-01-29T19:03:06+00:00,e6aade2e862ba25fddf5350c52e01628b8364ef4b0adcf4c0805c01acd4b43bb,PRESENT,
G165C0005,GSM5050525_G3counts.csv.gz,COPIED_SOURCE,4072333,2021-01-29T19:03:08+00:00,1636667f3147d539907f75a3e2c26e1556aa14a7a08de448a2db2bdc8ee10301,PRESENT,
G165C0006,GSM5050526_G3Acounts.csv.gz,COPIED_SOURCE,2023904,2021-01-29T19:03:09+00:00,d977dbdf147b5a8c5c8594cee29dd03a1a371006808efd63f2f3e8d37eb7c82c,PRESENT,
G165C0007,GSM5050527_G4counts.csv.gz,COPIED_SOURCE,7294816,2021-01-29T19:03:13+00:00,7a604084aef904b43cc54cef00c547b9c93dc86663c063f597953ce21ddcd823,PRESENT,
G165C0008,GSM5050528_G4Acounts.csv.gz,COPIED_SOURCE,3147194,2021-01-29T19:03:15+00:00,24c521f6e37d4fe3aa12b9068d381bc1b3cd3ec754c53b637cef75759e61ba83,PRESENT,
G165C0009,GSM5050529_G5counts.csv.gz,COPIED_SOURCE,5927705,2021-01-29T19:03:18+00:00,457486a9c2c39ca87a3ad5b98f8d029eb25a7ac9f713dc35e3c87260492c9c69,PRESENT,
G165C0010,GSM5050530_G6counts.csv.gz,COPIED_SOURCE,4978609,2021-01-29T19:03:21+00:00,e6918957e0187d6c6066fdb1a1689bfce771938db974a206111a1ac4b9951463,PRESENT,
G165C0011,GSM5050531_G7counts.csv.gz,COPIED_SOURCE,4827505,2021-01-29T19:03:24+00:00,e40a1542ea6596959cf0c5ac7de42f8d48e5a565e351b6b1dcd7f3fa3d4e63ba,PRESENT,
G165C0012,GSM5050532_G8counts.csv.gz,COPIED_SOURCE,5806166,2021-01-29T19:03:27+00:00,77f0053bdb39e66c71e38c9f7f145ced6bf7ecdb4e78e30f56c94e1904503d77,PRESENT,
G165C0013,GSM5050533_G9counts.csv.gz,COPIED_SOURCE,9238226,2021-01-29T19:03:32+00:00,ee9a08755ac5f63b3fe68636baaf465a73b5618aaa9a89048d486ed3d66cd47c,PRESENT,
G165C0014,GSM5050534_G10counts.csv.gz,COPIED_SOURCE,10136090,2021-01-29T19:03:38+00:00,041386388cbca9fa6b4ce26427d60bdde768f4980dea18d466a03e46463363f9,PRESENT,
G165C0015,GSM5050535_G11counts.csv.gz,COPIED_SOURCE,4537879,2021-01-29T19:03:40+00:00,bb4b510329ed01a2ce541a7dd8c24e6e055a13bbc3038b200b3293980a85c125,PRESENT,
G165C0016,GSM5050536_G12counts.csv.gz,COPIED_SOURCE,9295635,2021-01-29T19:03:46+00:00,992c2b5df0088ec9b1fe2566c98fe7e03fc8a9e32d6e79698ed6ec0c16eced98,PRESENT,
