dataset_id,gsm_accession,cel_member,group_code,biological_group,participant_unit_id,primary_eligible,analysis_role
GSE80178,GSM2114231,GSM2114231_DFU01.CEL.gz,DFU,DFU_ULCER,M01_GSE80178_DFU_001,TRUE,CORE_PRIMARY
GSE80178,GSM2114232,GSM2114232_DFU02.CEL.gz,DFU,DFU_ULCER,M01_GSE80178_DFU_002,TRUE,CORE_PRIMARY
GSE80178,GSM2114233,GSM2114233_DFU03.CEL.gz,DFU,DFU_ULCER,M01_GSE80178_DFU_003,TRUE,CORE_PRIMARY
GSE80178,GSM2114234,GSM2114234_DFU04.CEL.gz,DFU,DFU_ULCER,M01_GSE80178_DFU_004,TRUE,CORE_PRIMARY
GSE80178,GSM2114235,GSM2114235_DFU05.CEL.gz,DFU,DFU_ULCER,M01_GSE80178_DFU_005,TRUE,CORE_PRIMARY
GSE80178,GSM2114236,GSM2114236_DFU06.CEL.gz,DFU,DFU_ULCER,M01_GSE80178_DFU_006,TRUE,CORE_PRIMARY
GSE80178,GSM2114237,GSM2114237_FS01.CEL.gz,DFS,DFS_NONULCERATED_DIABETIC,M01_SHARED_FS_001,TRUE,CORE_PRIMARY
GSE80178,GSM2114238,GSM2114238_FS02.CEL.gz,DFS,DFS_NONULCERATED_DIABETIC,M01_SHARED_FS_002,TRUE,CORE_PRIMARY
GSE80178,GSM2114239,GSM2114239_FS03.CEL.gz,DFS,DFS_NONULCERATED_DIABETIC,M01_SHARED_FS_003,TRUE,CORE_PRIMARY
GSE80178,GSM2114240,GSM2114240_FS04.CEL.gz,NFS,NFS_HEALTHY_NONDIABETIC,M01_SHARED_FS_004,TRUE,CORE_PRIMARY
GSE80178,GSM2114241,GSM2114241_FS05.CEL.gz,NFS,NFS_HEALTHY_NONDIABETIC,M01_SHARED_FS_005,TRUE,CORE_PRIMARY
GSE80178,GSM2114242,GSM2114242_FS06.CEL.gz,NFS,NFS_HEALTHY_NONDIABETIC,M01_SHARED_FS_006,TRUE,CORE_PRIMARY
