workbook_id,source_scope,source_label,canonical_label,canonical_display_label,classification_level,source_subtype,priority_for_foot,annotation_use
MOESM5,ALL_COMPARTMENTS,Fibro,FIBROBLAST,Fibroblast,BROAD_CELL_TYPE,,2,GENERAL_SUPPORT
MOESM5,ALL_COMPARTMENTS,SMCs,SMOOTH_MUSCLE,Smooth muscle cell,BROAD_CELL_TYPE,,2,GENERAL_SUPPORT
MOESM5,ALL_COMPARTMENTS,CD14-Mono,CD14_MONOCYTE,CD14+ monocyte,BROAD_CELL_TYPE,,2,GENERAL_SUPPORT
MOESM5,ALL_COMPARTMENTS,VasEndo,VASCULAR_ENDOTHELIAL,Vascular endothelial cell,BROAD_CELL_TYPE,,2,GENERAL_SUPPORT
MOESM5,ALL_COMPARTMENTS,T-lympho,T_LYMPHOCYTE,T lymphocyte,BROAD_CELL_TYPE,,2,GENERAL_SUPPORT
MOESM5,ALL_COMPARTMENTS,DiffKera,DIFFERENTIATED_KERATINOCYTE,Differentiated keratinocyte,BROAD_CELL_TYPE,,2,GENERAL_SUPPORT
MOESM5,ALL_COMPARTMENTS,BasalKera,BASAL_KERATINOCYTE,Basal keratinocyte,BROAD_CELL_TYPE,,2,GENERAL_SUPPORT
MOESM5,ALL_COMPARTMENTS,HE-Fibro,HEALING_ASSOCIATED_FIBROBLAST_STATE,Healing-associated fibroblast state,SOURCE_DEFINED_STATE,,2,GENERAL_SUPPORT
MOESM5,ALL_COMPARTMENTS,B-lympho,B_LYMPHOCYTE,B lymphocyte,BROAD_CELL_TYPE,,2,GENERAL_SUPPORT
MOESM5,ALL_COMPARTMENTS,M1-Macro,M1_LIKE_MACROPHAGE,M1-like macrophage,SOURCE_DEFINED_STATE,,2,GENERAL_SUPPORT
MOESM5,ALL_COMPARTMENTS,NK,NATURAL_KILLER,Natural killer cell,BROAD_CELL_TYPE,,2,GENERAL_SUPPORT
MOESM5,ALL_COMPARTMENTS,NKT,NKT,NKT cell,BROAD_CELL_TYPE,,2,GENERAL_SUPPORT
MOESM5,ALL_COMPARTMENTS,M2-Macro,M2_LIKE_MACROPHAGE,M2-like macrophage,SOURCE_DEFINED_STATE,,2,GENERAL_SUPPORT
MOESM5,ALL_COMPARTMENTS,CD16-Mono,CD16_MONOCYTE,CD16+ monocyte,BROAD_CELL_TYPE,,2,GENERAL_SUPPORT
MOESM5,ALL_COMPARTMENTS,Melano/Scwann,MELANOCYTE_SCHWANN_COMBINED,Melanocyte/Schwann combined,BROAD_CELL_TYPE,,2,GENERAL_SUPPORT
MOESM5,ALL_COMPARTMENTS,Mast,MAST_CELL,Mast cell,BROAD_CELL_TYPE,,2,GENERAL_SUPPORT
MOESM5,ALL_COMPARTMENTS,Sweat/Sebo,SWEAT_SEBACEOUS,Sweat/sebaceous gland cell,BROAD_CELL_TYPE,,2,GENERAL_SUPPORT
MOESM5,ALL_COMPARTMENTS,LymphEndo,LYMPHATIC_ENDOTHELIAL,Lymphatic endothelial cell,BROAD_CELL_TYPE,,2,GENERAL_SUPPORT
MOESM5,ALL_COMPARTMENTS,Erytho,ERYTHROCYTE,Erythrocyte,BROAD_CELL_TYPE,,2,GENERAL_SUPPORT
MOESM5,ALL_COMPARTMENTS,Plasma,PLASMA_CELL,Plasma cell,BROAD_CELL_TYPE,,2,GENERAL_SUPPORT
MOESM5,ALL_COMPARTMENTS,DCs,DENDRITIC_CELL,Dendritic/Langerhans cell,BROAD_CELL_TYPE,,2,GENERAL_SUPPORT
MOESM6,FOOT_SKIN,SMC1,SMOOTH_MUSCLE,Smooth muscle cell,BROAD_CELL_TYPE,SMC1,1,PRIMARY_FOOT
MOESM6,FOOT_SKIN,SMC2,SMOOTH_MUSCLE,Smooth muscle cell,BROAD_CELL_TYPE,SMC2,1,PRIMARY_FOOT
MOESM6,FOOT_SKIN,VasEndo,VASCULAR_ENDOTHELIAL,Vascular endothelial cell,BROAD_CELL_TYPE,,1,PRIMARY_FOOT
MOESM6,FOOT_SKIN,Fibro,FIBROBLAST,Fibroblast,BROAD_CELL_TYPE,,1,PRIMARY_FOOT
MOESM6,FOOT_SKIN,T-Lympho,T_LYMPHOCYTE,T lymphocyte,BROAD_CELL_TYPE,,1,PRIMARY_FOOT
MOESM6,FOOT_SKIN,DiffKera,DIFFERENTIATED_KERATINOCYTE,Differentiated keratinocyte,BROAD_CELL_TYPE,,1,PRIMARY_FOOT
MOESM6,FOOT_SKIN,M1-Macro,M1_LIKE_MACROPHAGE,M1-like macrophage,SOURCE_DEFINED_STATE,,1,PRIMARY_FOOT
MOESM6,FOOT_SKIN,HE-Fibro,HEALING_ASSOCIATED_FIBROBLAST_STATE,Healing-associated fibroblast state,SOURCE_DEFINED_STATE,,1,PRIMARY_FOOT
MOESM6,FOOT_SKIN,BasalKera,BASAL_KERATINOCYTE,Basal keratinocyte,BROAD_CELL_TYPE,,1,PRIMARY_FOOT
MOESM6,FOOT_SKIN,M2-Macro,M2_LIKE_MACROPHAGE,M2-like macrophage,SOURCE_DEFINED_STATE,,1,PRIMARY_FOOT
MOESM6,FOOT_SKIN,Mast,MAST_CELL,Mast cell,BROAD_CELL_TYPE,,1,PRIMARY_FOOT
MOESM6,FOOT_SKIN,NKT,NKT,NKT cell,BROAD_CELL_TYPE,,1,PRIMARY_FOOT
MOESM6,FOOT_SKIN,B-Lympho,B_LYMPHOCYTE,B lymphocyte,BROAD_CELL_TYPE,,1,PRIMARY_FOOT
MOESM6,FOOT_SKIN,LymphEndo,LYMPHATIC_ENDOTHELIAL,Lymphatic endothelial cell,BROAD_CELL_TYPE,,1,PRIMARY_FOOT
MOESM6,FOOT_SKIN,Melano,MELANOCYTE_SCHWANN_COMBINED,Melanocyte/Schwann combined,BROAD_CELL_TYPE,MELANOCYTE,1,PRIMARY_FOOT
MOESM6,FOOT_SKIN,Sweat/Seba,SWEAT_SEBACEOUS,Sweat/sebaceous gland cell,BROAD_CELL_TYPE,,1,PRIMARY_FOOT
MOESM6,FOOT_SKIN,Schwann,MELANOCYTE_SCHWANN_COMBINED,Melanocyte/Schwann combined,BROAD_CELL_TYPE,SCHWANN,1,PRIMARY_FOOT
MOESM6,FOOT_SKIN,Plasma,PLASMA_CELL,Plasma cell,BROAD_CELL_TYPE,,1,PRIMARY_FOOT
