signature_rank,gene,fulltext_printed_symbol,symbol_adjudication,present_in_official_top_marker_workbooks,supporting_workbooks,analysis_role,outcome_enrichment_used_to_define_state
1,PLA2G2A,PLA2GA,Official workbooks adjudicate the truncated full-text symbol PLA2GA as PLA2G2A,TRUE,MOESM5;MOESM6;MOESM7,PRESPECIFIED_SIGNATURE_VALIDATION_ONLY,FALSE
2,MMP1,MMP1,exact,TRUE,MOESM5;MOESM6;MOESM7,PRESPECIFIED_SIGNATURE_VALIDATION_ONLY,FALSE
3,CHI3L1,CHI3L1,exact,TRUE,MOESM5;MOESM7,PRESPECIFIED_SIGNATURE_VALIDATION_ONLY,FALSE
4,TIMP1,TIMP1,exact,TRUE,MOESM5;MOESM6,PRESPECIFIED_SIGNATURE_VALIDATION_ONLY,FALSE
5,SFRP4,SFRP4,exact,TRUE,MOESM5;MOESM7,PRESPECIFIED_SIGNATURE_VALIDATION_ONLY,FALSE
6,FTH1,FTH1,exact,TRUE,MOESM5;MOESM7,PRESPECIFIED_SIGNATURE_VALIDATION_ONLY,FALSE
7,FN1,FN1,exact,TRUE,MOESM5;MOESM6,PRESPECIFIED_SIGNATURE_VALIDATION_ONLY,FALSE
8,MT2A,MT2A,exact,TRUE,MOESM5;MOESM7,PRESPECIFIED_SIGNATURE_VALIDATION_ONLY,FALSE
9,LUM,LUM,exact,TRUE,MOESM5;MOESM6,PRESPECIFIED_SIGNATURE_VALIDATION_ONLY,FALSE
10,CHI3L2,CHI3L2,exact,TRUE,MOESM5;MOESM7,PRESPECIFIED_SIGNATURE_VALIDATION_ONLY,FALSE
11,MMP13,MMP13,exact,TRUE,MOESM7,PRESPECIFIED_SIGNATURE_VALIDATION_ONLY,FALSE
12,HIF1A,HIF1A,exact,FALSE,,PRESPECIFIED_SIGNATURE_VALIDATION_ONLY,FALSE
13,CCL20,CCL20,exact,TRUE,MOESM7,PRESPECIFIED_SIGNATURE_VALIDATION_ONLY,FALSE
14,TPM2,TPM2,exact,TRUE,MOESM5;MOESM6;MOESM7,PRESPECIFIED_SIGNATURE_VALIDATION_ONLY,FALSE
15,ASPN,ASPN,exact,TRUE,MOESM6;MOESM7,PRESPECIFIED_SIGNATURE_VALIDATION_ONLY,FALSE
16,MMP3,MMP3,exact,TRUE,MOESM7,PRESPECIFIED_SIGNATURE_VALIDATION_ONLY,FALSE
17,TNFAIP6,TNFAIP6,exact,FALSE,,PRESPECIFIED_SIGNATURE_VALIDATION_ONLY,FALSE
18,IL6,IL6,exact,FALSE,,PRESPECIFIED_SIGNATURE_VALIDATION_ONLY,FALSE
