canonical_label,canonical_display_label,classification_level,gene,primary_source_workbook,primary_source_label,primary_source_subtype,best_marker_rank,source_workbooks,source_labels,supporting_source_count,use_for_primary_foot_annotation,clinical_group_blinded,outcome_differential_expression_used
BASAL_KERATINOCYTE,Basal keratinocyte,BROAD_CELL_TYPE,COL17A1,MOESM5,BasalKera,,9,MOESM5,BasalKera,1,TRUE,TRUE,FALSE
BASAL_KERATINOCYTE,Basal keratinocyte,BROAD_CELL_TYPE,KRT14,MOESM6,BasalKera,,1,MOESM5;MOESM6,BasalKera,2,TRUE,TRUE,FALSE
BASAL_KERATINOCYTE,Basal keratinocyte,BROAD_CELL_TYPE,KRT15,MOESM5,BasalKera,,10,MOESM5,BasalKera,1,TRUE,TRUE,FALSE
BASAL_KERATINOCYTE,Basal keratinocyte,BROAD_CELL_TYPE,KRT16,MOESM6,BasalKera,,2,MOESM5;MOESM6,BasalKera,2,TRUE,TRUE,FALSE
BASAL_KERATINOCYTE,Basal keratinocyte,BROAD_CELL_TYPE,KRT17,MOESM6,BasalKera,,5,MOESM5;MOESM6,BasalKera,2,TRUE,TRUE,FALSE
BASAL_KERATINOCYTE,Basal keratinocyte,BROAD_CELL_TYPE,KRT5,MOESM6,BasalKera,,4,MOESM5;MOESM6,BasalKera,2,TRUE,TRUE,FALSE
BASAL_KERATINOCYTE,Basal keratinocyte,BROAD_CELL_TYPE,KRT6A,MOESM6,BasalKera,,3,MOESM5;MOESM6,BasalKera,2,TRUE,TRUE,FALSE
BASAL_KERATINOCYTE,Basal keratinocyte,BROAD_CELL_TYPE,KRT6B,MOESM6,BasalKera,,6,MOESM5;MOESM6,BasalKera,2,TRUE,TRUE,FALSE
BASAL_KERATINOCYTE,Basal keratinocyte,BROAD_CELL_TYPE,KRT6C,MOESM6,BasalKera,,7,MOESM6,BasalKera,1,TRUE,TRUE,FALSE
BASAL_KERATINOCYTE,Basal keratinocyte,BROAD_CELL_TYPE,S100A2,MOESM6,BasalKera,,8,MOESM5;MOESM6,BasalKera,2,TRUE,TRUE,FALSE
BASAL_KERATINOCYTE,Basal keratinocyte,BROAD_CELL_TYPE,S100A8,MOESM6,BasalKera,,9,MOESM6,BasalKera,1,TRUE,TRUE,FALSE
BASAL_KERATINOCYTE,Basal keratinocyte,BROAD_CELL_TYPE,S100A9,MOESM6,BasalKera,,10,MOESM6,BasalKera,1,TRUE,TRUE,FALSE
BASAL_KERATINOCYTE,Basal keratinocyte,BROAD_CELL_TYPE,SFN,MOESM5,BasalKera,,8,MOESM5,BasalKera,1,TRUE,TRUE,FALSE
B_LYMPHOCYTE,B lymphocyte,BROAD_CELL_TYPE,CD37,MOESM6,B-Lympho,,1,MOESM5;MOESM6,B-Lympho;B-lympho,2,TRUE,TRUE,FALSE
B_LYMPHOCYTE,B lymphocyte,BROAD_CELL_TYPE,CD52,MOESM6,B-Lympho,,5,MOESM5;MOESM6,B-Lympho;B-lympho,2,TRUE,TRUE,FALSE
B_LYMPHOCYTE,B lymphocyte,BROAD_CELL_TYPE,CD74,MOESM6,B-Lympho,,4,MOESM5;MOESM6,B-Lympho;B-lympho,2,TRUE,TRUE,FALSE
B_LYMPHOCYTE,B lymphocyte,BROAD_CELL_TYPE,CD79A,MOESM6,B-Lympho,,8,MOESM5;MOESM6,B-Lympho;B-lympho,2,TRUE,TRUE,FALSE
B_LYMPHOCYTE,B lymphocyte,BROAD_CELL_TYPE,CD79B,MOESM5,B-lympho,,7,MOESM5,B-lympho,1,TRUE,TRUE,FALSE
B_LYMPHOCYTE,B lymphocyte,BROAD_CELL_TYPE,HLA-DPB1,MOESM6,B-Lympho,,7,MOESM6,B-Lympho,1,TRUE,TRUE,FALSE
