dataset_id,gsm_accession,sample_title,biological_group,tissue_context,disease_state,analytic_independence_unit,duplicate_pair_id,participant_mapping_status,participant_id_source,downstream_role,include_once_in_deduplicated_GSE80178_contrast
GSE68183,GSM1665311,Diabetic Foot Skin 01 gene expression profile,DFS_NONULCERATED_DIABETIC,non-ulcerated non-neuropathic diabetic foot skin (DFS),SOURCE_DESCRIPTION_ONLY,M01_SHARED_FS_001,PAIR001,SAME_SAMPLE_OBJECT_ACROSS_ACCESSIONS,CONSERVATIVE_ANALYTIC_ALIAS_NOT_A_REAL_IDENTIFIER,CONTROL_SOURCE_CONTEXT,FALSE
GSE68183,GSM1665312,Diabetic Foot Skin 02 gene expression profile,DFS_NONULCERATED_DIABETIC,non-ulcerated non-neuropathic diabetic foot skin (DFS),SOURCE_DESCRIPTION_ONLY,M01_SHARED_FS_002,PAIR002,SAME_SAMPLE_OBJECT_ACROSS_ACCESSIONS,CONSERVATIVE_ANALYTIC_ALIAS_NOT_A_REAL_IDENTIFIER,CONTROL_SOURCE_CONTEXT,FALSE
GSE68183,GSM1665313,Diabetic Foot Skin 03 gene expression profile,DFS_NONULCERATED_DIABETIC,non-ulcerated non-neuropathic diabetic foot skin (DFS),SOURCE_DESCRIPTION_ONLY,M01_SHARED_FS_003,PAIR003,SAME_SAMPLE_OBJECT_ACROSS_ACCESSIONS,CONSERVATIVE_ANALYTIC_ALIAS_NOT_A_REAL_IDENTIFIER,CONTROL_SOURCE_CONTEXT,FALSE
GSE68183,GSM1665314,non-Diabetic Foot Skin 01 gene expression profile,NFS_HEALTHY_NONDIABETIC,healthy non-diabetic foot skin (NFS),SOURCE_DESCRIPTION_ONLY,M01_SHARED_FS_004,PAIR004,SAME_SAMPLE_OBJECT_ACROSS_ACCESSIONS,CONSERVATIVE_ANALYTIC_ALIAS_NOT_A_REAL_IDENTIFIER,CONTROL_SOURCE_CONTEXT,FALSE
GSE68183,GSM1665315,non-Diabetic Foot Skin 02 gene expression profile,NFS_HEALTHY_NONDIABETIC,healthy non-diabetic foot skin (NFS),SOURCE_DESCRIPTION_ONLY,M01_SHARED_FS_005,PAIR005,SAME_SAMPLE_OBJECT_ACROSS_ACCESSIONS,CONSERVATIVE_ANALYTIC_ALIAS_NOT_A_REAL_IDENTIFIER,CONTROL_SOURCE_CONTEXT,FALSE
GSE68183,GSM1665316,non-Diabetic Foot Skin 03 gene expression profile,NFS_HEALTHY_NONDIABETIC,healthy non-diabetic foot skin (NFS),SOURCE_DESCRIPTION_ONLY,M01_SHARED_FS_006,PAIR006,SAME_SAMPLE_OBJECT_ACROSS_ACCESSIONS,CONSERVATIVE_ANALYTIC_ALIAS_NOT_A_REAL_IDENTIFIER,CONTROL_SOURCE_CONTEXT,FALSE
GSE80178,GSM2114231,Diabetic Foot Ulcer 07,DFU_ULCER,foot ulcer,diabetic,M01_GSE80178_DFU_001,,ONE_GEO_SAMPLE_PER_SOURCE_REPORTED_SPECIMEN; PUBLIC_PARTICIPANT_ID_UNAVAILABLE,CONSERVATIVE_ANALYTIC_ALIAS_NOT_A_REAL_IDENTIFIER,PRIMARY_DFU_SAMPLE,TRUE
GSE80178,GSM2114232,Diabetic Foot Ulcer 14,DFU_ULCER,foot ulcer,diabetic,M01_GSE80178_DFU_002,,ONE_GEO_SAMPLE_PER_SOURCE_REPORTED_SPECIMEN; PUBLIC_PARTICIPANT_ID_UNAVAILABLE,CONSERVATIVE_ANALYTIC_ALIAS_NOT_A_REAL_IDENTIFIER,PRIMARY_DFU_SAMPLE,TRUE
GSE80178,GSM2114233,Diabetic Foot Ulcer 15,DFU_ULCER,foot ulcer,diabetic,M01_GSE80178_DFU_003,,ONE_GEO_SAMPLE_PER_SOURCE_REPORTED_SPECIMEN; PUBLIC_PARTICIPANT_ID_UNAVAILABLE,CONSERVATIVE_ANALYTIC_ALIAS_NOT_A_REAL_IDENTIFIER,PRIMARY_DFU_SAMPLE,TRUE
GSE80178,GSM2114234,Diabetic Foot Ulcer 24,DFU_ULCER,foot ulcer,diabetic,M01_GSE80178_DFU_004,,ONE_GEO_SAMPLE_PER_SOURCE_REPORTED_SPECIMEN; PUBLIC_PARTICIPANT_ID_UNAVAILABLE,CONSERVATIVE_ANALYTIC_ALIAS_NOT_A_REAL_IDENTIFIER,PRIMARY_DFU_SAMPLE,TRUE
