object_id,path,size_bytes,sha256,source_archive_id,source_run_relative_path,source_sha256,promotion_identity,manuscript_role
M07FULLACC0001,05_analysis_steps/M07_SINGLE_CELL_CONTEXT/runs/M07_FULL_CORE_V1_20260826T000000Z/M07_FULL_EXECUTION_SUMMARY_v1.json,1233,e94f42f384298968232aa426f1aa432c9bc85421ed827ddebb8b17868a7f10a2,DFU_PROVENANCE_REPRODUCIBILITY_2026__M07_SINGLE_CELL_CONTEXT__FULL_CORE_POST_RUN_v1,M07_FULL_EXECUTION_SUMMARY_v1.json,e94f42f384298968232aa426f1aa432c9bc85421ed827ddebb8b17868a7f10a2,HASH_MATCHED_LOCKED_RUN_OBJECT,SUPPORTING_QC_OR_SOURCE_DATA
M07FULLACC0002,05_analysis_steps/M07_SINGLE_CELL_CONTEXT/runs/M07_FULL_CORE_V1_20260826T000000Z/M07_FULL_POST_RUN_VALIDATION_v1.json,4292,def24d7d7a1b7924886d62b715c0f9c787b086c37b9a8679739d14674d3896d6,DFU_PROVENANCE_REPRODUCIBILITY_2026__M07_SINGLE_CELL_CONTEXT__FULL_CORE_POST_RUN_v1,M07_FULL_POST_RUN_VALIDATION_v1.json,def24d7d7a1b7924886d62b715c0f9c787b086c37b9a8679739d14674d3896d6,HASH_MATCHED_LOCKED_RUN_OBJECT,SUPPORTING_QC_OR_SOURCE_DATA
M07FULLACC0003,05_analysis_steps/M07_SINGLE_CELL_CONTEXT/runs/M07_FULL_CORE_V1_20260826T000000Z/M07_FULL_RESOURCE_SUMMARY_v1.json,474,cdd8a138dc7d91966a41ef7146d2ce2ab3055921df2ec123697e8783b5ed990e,DFU_PROVENANCE_REPRODUCIBILITY_2026__M07_SINGLE_CELL_CONTEXT__FULL_CORE_POST_RUN_v1,M07_FULL_RESOURCE_SUMMARY_v1.json,cdd8a138dc7d91966a41ef7146d2ce2ab3055921df2ec123697e8783b5ed990e,HASH_MATCHED_LOCKED_RUN_OBJECT,SUPPORTING_QC_OR_SOURCE_DATA
M07FULLACC0004,05_analysis_steps/M07_SINGLE_CELL_CONTEXT/runs/M07_FULL_CORE_V1_20260826T000000Z/02_r_full/M07_FULL_ANALYSIS_SUMMARY_v1.json,1323,5ee92006016ab53b6df28ce1d202754399b372e60b98339a43aa701f68f78d84,DFU_PROVENANCE_REPRODUCIBILITY_2026__M07_SINGLE_CELL_CONTEXT__FULL_CORE_POST_RUN_v1,02_r_full/M07_FULL_ANALYSIS_SUMMARY_v1.json,5ee92006016ab53b6df28ce1d202754399b372e60b98339a43aa701f68f78d84,HASH_MATCHED_LOCKED_RUN_OBJECT,SUPPORTING_RESULT
M07FULLACC0005,05_analysis_steps/M07_SINGLE_CELL_CONTEXT/runs/M07_FULL_CORE_V1_20260826T000000Z/02_r_full/M07_FULL_CELLTYPE_MODEL_ELIGIBILITY_v1.csv,1467,514415ca6dcbdc40802efe43fa569cdfcfc85bea862282649d20782d3d268b87,DFU_PROVENANCE_REPRODUCIBILITY_2026__M07_SINGLE_CELL_CONTEXT__FULL_CORE_POST_RUN_v1,02_r_full/M07_FULL_CELLTYPE_MODEL_ELIGIBILITY_v1.csv,514415ca6dcbdc40802efe43fa569cdfcfc85bea862282649d20782d3d268b87,HASH_MATCHED_LOCKED_RUN_OBJECT,SUPPORTING_QC_OR_SOURCE_DATA
M07FULLACC0006,05_analysis_steps/M07_SINGLE_CELL_CONTEXT/runs/M07_FULL_CORE_V1_20260826T000000Z/02_r_full/M07_FULL_EDGER_MODEL_STATUS_v1.csv,832,49d352abf55957634adac5bbd261c3356c66166dab7a83c21fcee99c2f6caa94,DFU_PROVENANCE_REPRODUCIBILITY_2026__M07_SINGLE_CELL_CONTEXT__FULL_CORE_POST_RUN_v1,02_r_full/M07_FULL_EDGER_MODEL_STATUS_v1.csv,49d352abf55957634adac5bbd261c3356c66166dab7a83c21fcee99c2f6caa94,HASH_MATCHED_LOCKED_RUN_OBJECT,SUPPORTING_QC_OR_SOURCE_DATA
M07FULLACC0007,05_analysis_steps/M07_SINGLE_CELL_CONTEXT/runs/M07_FULL_CORE_V1_20260826T000000Z/02_r_full/M07_FULL_PARTICIPANT_PSEUDOBULK_DE_v1.csv.gz,2995205,820c957bed3a9d3d6a94063ce12a6530002c37602e7983c20042cf6928540d5e,DFU_PROVENANCE_REPRODUCIBILITY_2026__M07_SINGLE_CELL_CONTEXT__FULL_CORE_POST_RUN_v1,02_r_full/M07_FULL_PARTICIPANT_PSEUDOBULK_DE_v1.csv.gz,820c957bed3a9d3d6a94063ce12a6530002c37602e7983c20042cf6928540d5e,HASH_MATCHED_LOCKED_RUN_OBJECT,SUPPORTING_RESULT
M07FULLACC0008,05_analysis_steps/M07_SINGLE_CELL_CONTEXT/runs/M07_FULL_CORE_V1_20260826T000000Z/02_r_full/M07_FULL_CELLTYPE_ABUNDANCE_SUMMARY_v1.csv,3764,6737c2269cf5e3a74cf1760d02ef8e2874fa2fffbafee8a43d5a52907f836163,DFU_PROVENANCE_REPRODUCIBILITY_2026__M07_SINGLE_CELL_CONTEXT__FULL_CORE_POST_RUN_v1,02_r_full/M07_FULL_CELLTYPE_ABUNDANCE_SUMMARY_v1.csv,6737c2269cf5e3a74cf1760d02ef8e2874fa2fffbafee8a43d5a52907f836163,HASH_MATCHED_LOCKED_RUN_OBJECT,SUPPORTING_QC_OR_SOURCE_DATA
M07FULLACC0009,05_analysis_steps/M07_SINGLE_CELL_CONTEXT/runs/M07_FULL_CORE_V1_20260826T000000Z/02_r_full/M07_FULL_HE_FIBRO_PARTICIPANT_SCORES_v1.csv,4652,30e4d15b7f4a658672fc3629fa40d717951e690cb86f970bee1aab68ef541995,DFU_PROVENANCE_REPRODUCIBILITY_2026__M07_SINGLE_CELL_CONTEXT__FULL_CORE_POST_RUN_v1,02_r_full/M07_FULL_HE_FIBRO_PARTICIPANT_SCORES_v1.csv,30e4d15b7f4a658672fc3629fa40d717951e690cb86f970bee1aab68ef541995,HASH_MATCHED_LOCKED_RUN_OBJECT,SUPPORTING_QC_OR_SOURCE_DATA
M07FULLACC0010,05_analysis_steps/M07_SINGLE_CELL_CONTEXT/runs/M07_FULL_CORE_V1_20260826T000000Z/02_r_full/M07_FULL_UMAP_CELL_TYPES_v1.pdf,2263071,d70d0ad4c3ec622f8ddabefc1354749f0b7dda2f0e48890ddecf1bcd2654b292,DFU_PROVENANCE_REPRODUCIBILITY_2026__M07_SINGLE_CELL_CONTEXT__FULL_CORE_POST_RUN_v1,02_r_full/M07_FULL_UMAP_CELL_TYPES_v1.pdf,d70d0ad4c3ec622f8ddabefc1354749f0b7dda2f0e48890ddecf1bcd2654b292,HASH_MATCHED_LOCKED_RUN_OBJECT,SUPPLEMENTARY_FIGURE_CANDIDATE
