fact_id,module_id,fact_type,exact_value,unit_or_denominator,source_path,source_sha256,allowed_wording,prohibited_wording,manuscript_destination,status
FACT_M01_DUPLICATES,M01,COUNT,6,Exact GSE68183/GSE80178 control-object pairs,06_locked_results/modules/M01_PROVENANCE_AUDIT/v1_metadata_adjudication/M01_METADATA_RESULT_LOCK_v1.json,0f7a4fd1fd7c6ada153123bf5c0a4c6e470cd299537dd8968335ed9a6fdfe9d5,Six GSE68183 controls are exact raw-data duplicates of six GSE80178 controls,Participant identity inferred beyond public metadata,Abstract/Results,LOCKED
FACT_M01_ROWS_UNITS,M01,COUNT,18 accession rows collapse to 12 conservative analytic units,GSE68183+GSE80178,06_locked_results/modules/M01_PROVENANCE_AUDIT/v1_metadata_adjudication/M01_METADATA_RESULT_LOCK_v1.json,0f7a4fd1fd7c6ada153123bf5c0a4c6e470cd299537dd8968335ed9a6fdfe9d5,State accession and analytic-unit counts separately,18 independent participants,Results/Table 1,LOCKED
FACT_M02_INTERFACE,M02,COUNT,127 accessions to 94 analytic participant units,All registered datasets,06_locked_results/modules/M02_COHORT_HARMONIZATION/v1/M02_RESULT_LOCK_v1.json,121a4d3f2c39cf705518544ca97087938f4118d67aaf7b40f460b79001844063,Participant-aware interface,Expression evidence,Methods/Table 1,LOCKED
FACT_M03_PRIMARY_NULL,M03,RESULT,0,Genes with BH FDR<0.05 in every all-12 primary contrast,06_locked_results/modules/M03_WITHIN_STUDY_EFFECTS/v1/M03_RESULT_LOCK_v1.json,4c73b8082bd7e38f5e65b71d661b6de04122d1507fb098eaab64305880822dfa,No gene reached BH-FDR significance in prespecified all-12 primary contrasts,No biological difference exists,Results,LOCKED
FACT_M03_N11_DFU_NFS,M03,SENSITIVITY_COUNT,1,Threshold-level gene in n11 DFU-vs-NFS,06_locked_results/modules/M03_WITHIN_STUDY_EFFECTS/v1/M03_RESULT_LOCK_v1.json,4c73b8082bd7e38f5e65b71d661b6de04122d1507fb098eaab64305880822dfa,One sensitivity-only threshold signal,Validated biomarker,Results/Supplement,LOCKED_LIMITED
FACT_M03_N11_NAIVE,M03,SENSITIVITY_COUNT,9,Threshold-level genes in n11 pooled-control sensitivity,06_locked_results/modules/M03_WITHIN_STUDY_EFFECTS/v1/M03_RESULT_LOCK_v1.json,4c73b8082bd7e38f5e65b71d661b6de04122d1507fb098eaab64305880822dfa,Nine pooled-control sensitivity-only signals,Primary or robust discoveries,Results/Supplement,LOCKED_LIMITED
FACT_M04_NAIVE_ROWS,M04,COUNT,12,Naively counted control accession rows,06_locked_results/modules/M04_NAIVE_VS_AWARE_SENSITIVITY/v1/M04_RESULT_LOCK_v1.json,90fff5a7ae328611294acfc9062730875fb749bcfb74a97f73d022ace5a8cebe,Naive accession count,Independent samples,Results/Figure 3,LOCKED
FACT_M04_AWARE_OBJECTS,M04,COUNT,6,Provenance-aware unique control objects,06_locked_results/modules/M04_NAIVE_VS_AWARE_SENSITIVITY/v1/M04_RESULT_LOCK_v1.json,90fff5a7ae328611294acfc9062730875fb749bcfb74a97f73d022ace5a8cebe,Six unique objects,Two independent studies,Results/Figure 3,LOCKED
FACT_M05_STUDIES,M05,COUNT,1,Independent compatible core study,06_locked_results/modules/M05_ROBUSTNESS_SYNTHESIS/v1/M05_RESULT_LOCK_v1.json,0aad088f5847a6fb9f8e92a59bde890ec9adaebbbb359cfaff5a56626eb5d450,Only one independent compatible study remained,Meta-analysis or external replication,Abstract/Results/Discussion,LOCKED
FACT_M05_ROBUST_GENES,M05,COUNT,"0/18,865",Genes meeting prespecified cross-study robustness definition,06_locked_results/modules/M05_ROBUSTNESS_SYNTHESIS/v1/M05_RESULT_LOCK_v1.json,0aad088f5847a6fb9f8e92a59bde890ec9adaebbbb359cfaff5a56626eb5d450,No robust cross-study gene could be established,Biological absence,Abstract/Results/Figure 4,LOCKED_VALID_NULL
