cell_type,display_label
BASAL_KERATINOCYTE,Basal KC
B_LYMPHOCYTE,B cell
DIFFERENTIATED_KERATINOCYTE,Diff. KC
FIBROBLAST,Fibroblast
HEALING_ASSOCIATED_FIBROBLAST_STATE,HE fibroblast
LYMPHATIC_ENDOTHELIAL,Lymphatic EC
M1_LIKE_MACROPHAGE,M1-like macro.
M2_LIKE_MACROPHAGE,M2-like macro.
MAST_CELL,Mast
MELANOCYTE_SCHWANN_COMBINED,Mel./Schwann
NATURAL_KILLER,NK
PLASMA_CELL,Plasma
SMOOTH_MUSCLE,Smooth muscle
SWEAT_SEBACEOUS,Sweat/sebaceous
T_LYMPHOCYTE,T cell
UNRESOLVED,Unresolved
VASCULAR_ENDOTHELIAL,Vascular EC
