cell_type,participant_alias,retained_cells,biological_group,participant_total_retained_cells,participant_cell_fraction,display_label,group_label
BASAL_KERATINOCYTE,GSE165816_P001,107,DFU_NONHEALER,1999,0.0535267633816908,Basal KC,Nonhealer
FIBROBLAST,GSE165816_P001,32,DFU_NONHEALER,1999,0.016008004002001,Fibroblast,Nonhealer
LYMPHATIC_ENDOTHELIAL,GSE165816_P001,18,DFU_NONHEALER,1999,0.00900450225112556,Lymphatic EC,Nonhealer
M1_LIKE_MACROPHAGE,GSE165816_P001,36,DFU_NONHEALER,1999,0.0180090045022511,M1-like macro.,Nonhealer
SMOOTH_MUSCLE,GSE165816_P001,573,DFU_NONHEALER,1999,0.28664332166083,Smooth muscle,Nonhealer
T_LYMPHOCYTE,GSE165816_P001,293,DFU_NONHEALER,1999,0.146573286643322,T cell,Nonhealer
UNRESOLVED,GSE165816_P001,33,DFU_NONHEALER,1999,0.0165082541270635,Unresolved,Nonhealer
VASCULAR_ENDOTHELIAL,GSE165816_P001,212,DFU_NONHEALER,1999,0.106053026513257,Vascular EC,Nonhealer
BASAL_KERATINOCYTE,GSE165816_P002,282,DFU_HEALER,6580,0.0428571428571429,Basal KC,Healer
FIBROBLAST,GSE165816_P002,885,DFU_HEALER,6580,0.134498480243161,Fibroblast,Healer
LYMPHATIC_ENDOTHELIAL,GSE165816_P002,25,DFU_HEALER,6580,0.00379939209726444,Lymphatic EC,Healer
M1_LIKE_MACROPHAGE,GSE165816_P002,688,DFU_HEALER,6580,0.104559270516717,M1-like macro.,Healer
SMOOTH_MUSCLE,GSE165816_P002,2386,DFU_HEALER,6580,0.362613981762918,Smooth muscle,Healer
T_LYMPHOCYTE,GSE165816_P002,198,DFU_HEALER,6580,0.0300911854103343,T cell,Healer
UNRESOLVED,GSE165816_P002,24,DFU_HEALER,6580,0.00364741641337386,Unresolved,Healer
VASCULAR_ENDOTHELIAL,GSE165816_P002,316,DFU_HEALER,6580,0.0480243161094225,Vascular EC,Healer
BASAL_KERATINOCYTE,GSE165816_P003,104,DFU_HEALER,3459,0.0300664932061289,Basal KC,Healer
FIBROBLAST,GSE165816_P003,431,DFU_HEALER,3459,0.124602486267707,Fibroblast,Healer
LYMPHATIC_ENDOTHELIAL,GSE165816_P003,31,DFU_HEALER,3459,0.00896212778259613,Lymphatic EC,Healer
M1_LIKE_MACROPHAGE,GSE165816_P003,39,DFU_HEALER,3459,0.0112749349522984,M1-like macro.,Healer
SMOOTH_MUSCLE,GSE165816_P003,1448,DFU_HEALER,3459,0.418618097716103,Smooth muscle,Healer
T_LYMPHOCYTE,GSE165816_P003,183,DFU_HEALER,3459,0.0529054640069384,T cell,Healer
UNRESOLVED,GSE165816_P003,4,DFU_HEALER,3459,0.00115640358485111,Unresolved,Healer
VASCULAR_ENDOTHELIAL,GSE165816_P003,350,DFU_HEALER,3459,0.101185313674472,Vascular EC,Healer
BASAL_KERATINOCYTE,GSE165816_P004,9,DFU_HEALER,2121,0.00424328147100424,Basal KC,Healer
FIBROBLAST,GSE165816_P004,87,DFU_HEALER,2121,0.041018387553041,Fibroblast,Healer
LYMPHATIC_ENDOTHELIAL,GSE165816_P004,42,DFU_HEALER,2121,0.0198019801980198,Lymphatic EC,Healer
M1_LIKE_MACROPHAGE,GSE165816_P004,594,DFU_HEALER,2121,0.28005657708628,M1-like macro.,Healer
SMOOTH_MUSCLE,GSE165816_P004,503,DFU_HEALER,2121,0.237152286657237,Smooth muscle,Healer
T_LYMPHOCYTE,GSE165816_P004,166,DFU_HEALER,2121,0.0782649693540783,T cell,Healer
UNRESOLVED,GSE165816_P004,2,DFU_HEALER,2121,0.000942951438000943,Unresolved,Healer
VASCULAR_ENDOTHELIAL,GSE165816_P004,11,DFU_HEALER,2121,0.00518623290900519,Vascular EC,Healer
BASAL_KERATINOCYTE,GSE165816_P005,701,DFU_NONHEALER,3577,0.195974280123008,Basal KC,Nonhealer
FIBROBLAST,GSE165816_P005,720,DFU_NONHEALER,3577,0.201285993849595,Fibroblast,Nonhealer
LYMPHATIC_ENDOTHELIAL,GSE165816_P005,34,DFU_NONHEALER,3577,0.00950517193178641,Lymphatic EC,Nonhealer
