cell_type,display_label,N
SMOOTH_MUSCLE,Smooth muscle,10937
FIBROBLAST,Fibroblast,5508
HEALING_ASSOCIATED_FIBROBLAST_STATE,HE fibroblast,5065
VASCULAR_ENDOTHELIAL,Vascular EC,3686
T_LYMPHOCYTE,T cell,3088
BASAL_KERATINOCYTE,Basal KC,2782
M1_LIKE_MACROPHAGE,M1-like macro.,2290
M2_LIKE_MACROPHAGE,M2-like macro.,1631
DIFFERENTIATED_KERATINOCYTE,Diff. KC,981
NATURAL_KILLER,NK,952
B_LYMPHOCYTE,B cell,691
UNRESOLVED,Unresolved,357
LYMPHATIC_ENDOTHELIAL,Lymphatic EC,351
SWEAT_SEBACEOUS,Sweat/sebaceous,321
PLASMA_CELL,Plasma,218
MELANOCYTE_SCHWANN_COMBINED,Mel./Schwann,214
MAST_CELL,Mast,166
