public_path,manuscript_objects,module_id,public_sha256,original_executed_path,original_sha256,public_curation_status,governing_locks
04_code/Python/m01_provenance_audit.py,"Methods: provenance; Results: exact reuse; Supplementary Table S1",M01,04a36a5c7c6fd0461416b0665170c273372b37afe7a66086b1261f72a302c313,06_locked_results/reproducibility_archives/M01_PROVENANCE_AUDIT_PILOT_v1/02_code/entry_scripts/m01_provenance_audit.py,04a36a5c7c6fd0461416b0665170c273372b37afe7a66086b1261f72a302c313,BYTE_EXACT,L5B_M01_DATASET_RELATIONSHIP_v1
04_code/Python/m01_metadata_adjudication.py,"Methods: analytic units; Figure 2; Supplementary Table S1",M01,3760adfba8367bc69b92052bd5cf3bad17dd4b64431b91c4e9209ce700821f0d,06_locked_results/reproducibility_archives/M01_METADATA_ADJUDICATION_v2/02_code/entry_scripts/m01_metadata_adjudication.py,3760adfba8367bc69b92052bd5cf3bad17dd4b64431b91c4e9209ce700821f0d,BYTE_EXACT,L5B_M01_DATASET_RELATIONSHIP_v1
04_code/Python/m01_remaining_dataset_audit.py,"Table 1; Supplementary Tables S2-S3",M01,76505439a7185cddef029550d41d2f151c68f9a83c032900e5ecf193d91c2a5e,06_locked_results/reproducibility_archives/M01_REMAINING_DATASET_AUDIT_v1/02_code/entry_scripts/m01_remaining_dataset_audit.py,76505439a7185cddef029550d41d2f151c68f9a83c032900e5ecf193d91c2a5e,BYTE_EXACT,L5B_M01_DATASET_RELATIONSHIP_v1
04_code/Python/m01_extract_gse165816_participant_map.py,"Table 1; Supplementary Table S2; M07 participant interface",M01,237eb3267780e77c1a9fa3bbb86b1cf96e24f1c0c8dccc365c1d6e99d2372154,06_locked_results/reproducibility_archives/M01_REMAINING_DATASET_AUDIT_v1/02_code/entry_scripts/m01_extract_gse165816_participant_map.mjs,98ce2889f0df83993e12d80fbc70589e1ef319cfa0e9b99012281ef81b3c8f48,LOGIC_EQUIVALENT_PUBLIC_PYTHON_REPLACEMENT,L5B_M01_DATASET_RELATIONSHIP_v1
04_code/Python/m02_build_cohort_harmonization_interfaces.py,"Table 1; Figure 1; Supplementary Tables S2-S4",M02,a91d8367287aee754b230dac10aea9b43f75e0c75841fc0a232e92effd3c4c32,06_locked_results/reproducibility_archives/M02_COHORT_HARMONIZATION_v2_corrected/02_code/entry_scripts/m02_build_cohort_harmonization_interfaces.py,a91d8367287aee754b230dac10aea9b43f75e0c75841fc0a232e92effd3c4c32,BYTE_EXACT,L5E_M02_COHORT_HARMONIZATION_v1
04_code/R/m03_run_gse80178_core_v3.R,"Methods: bulk analysis; Results: primary and n11 sensitivity; Figure 3",M03,14e2a9859ac8f3b71183042df933123e1bd2c4d199713a2d1bdf73071f94aee4,06_locked_results/reproducibility_archives/M03_WITHIN_STUDY_EFFECTS_V3_POST_RUN_v3/02_code/entry_scripts/m03_run_gse80178_core_v3.R,14e2a9859ac8f3b71183042df933123e1bd2c4d199713a2d1bdf73071f94aee4,BYTE_EXACT,L5I_M03_ACCEPTED_RESULT_v1
04_code/R/m04_run_naive_vs_aware_sensitivity_v1.R,"Results: reuse and comparator sensitivity; Figure 3",M04,835ca6270db372bc59f4d30b17c062be36024419e175a50e17e3c6145c145ef4,06_locked_results/reproducibility_archives/M04_NAIVE_VS_AWARE_SENSITIVITY_POST_RUN_v1/02_code/entry_scripts/m04_run_naive_vs_aware_sensitivity_v1.R,835ca6270db372bc59f4d30b17c062be36024419e175a50e17e3c6145c145ef4,BYTE_EXACT,L5N_M04_ACCEPTED_RESULT_v1
04_code/Python/m05_run_robustness_synthesis_v1.py,"Results: robustness boundary; Figure 4",M05,f3c08686ac0a40d32b057f8b491f1d68f1d417b0bebea522154506957076a120,06_locked_results/reproducibility_archives/M05_ROBUSTNESS_SYNTHESIS_POST_RUN_v1/02_code/entry_scripts/m05_run_robustness_synthesis_v1.py,f3c08686ac0a40d32b057f8b491f1d68f1d417b0bebea522154506957076a120,BYTE_EXACT,L5R_M05_ACCEPTED_RESULT_v1
04_code/Python/m07_convert_full_core_to_sparse_mtx_v1.py,"Methods: single-cell input conversion; Figure S1",M07,e6f9a708a5d9933bcf9ff93cb75b518239cafa52f6c43a8bb2a1f52b189c40c7,06_locked_results/reproducibility_archives/M07_SINGLE_CELL_CONTEXT_FULL_CORE_POST_RUN_v1/02_code/modules/m07_convert_full_core_to_sparse_mtx_v1.py,e6f9a708a5d9933bcf9ff93cb75b518239cafa52f6c43a8bb2a1f52b189c40c7,BYTE_EXACT,L5_M07_FULL_CORE_POST_RUN_v1
04_code/Python/m07_convert_csv_counts_to_sparse_mtx_v1.py,"Methods: single-cell input conversion; Figure S1",M07,72c9c96c4a0097f932470eff3f596c02e226c46541a46ea5ec229b8bc330f1db,06_locked_results/reproducibility_archives/M07_SINGLE_CELL_CONTEXT_FULL_CORE_POST_RUN_v1/02_code/shared_utils/m07_convert_csv_counts_to_sparse_mtx_v1.py,72c9c96c4a0097f932470eff3f596c02e226c46541a46ea5ec229b8bc330f1db,BYTE_EXACT,L5_M07_FULL_CORE_POST_RUN_v1
04_code/R/m07_run_full_core_analysis_v1.R,"Methods and Results: participant-level single-cell analysis; Figure S1",M07,13662dc4062f47a4d43cada53e5c7a794f66b38f837b2805588d08f1ce3fe99c,06_locked_results/reproducibility_archives/M07_SINGLE_CELL_CONTEXT_FULL_CORE_POST_RUN_v1/02_code/modules/m07_run_full_core_analysis_v1.R,13662dc4062f47a4d43cada53e5c7a794f66b38f837b2805588d08f1ce3fe99c,BYTE_EXACT,L5_M07_FULL_CORE_POST_RUN_v1
04_code/R/m07_full_analysis_helpers_v1.R,"Methods and Results: participant-level single-cell analysis; Figure S1",M07,99c263148f4ac2c0de3f88145f94a0f12a5ab7da732d476435174b71e4213a3d,06_locked_results/reproducibility_archives/M07_SINGLE_CELL_CONTEXT_FULL_CORE_POST_RUN_v1/02_code/shared_utils/m07_full_analysis_helpers_v1.R,99c263148f4ac2c0de3f88145f94a0f12a5ab7da732d476435174b71e4213a3d,BYTE_EXACT,L5_M07_FULL_CORE_POST_RUN_v1
04_code/R/m07_pilot_helpers_v1.R,"Methods and Results: participant-level single-cell analysis; Figure S1",M07,62afcc7a6fbfae999bae04da8823f17c101f313588da102ef4120bf4dc6dc9f5,06_locked_results/reproducibility_archives/M07_SINGLE_CELL_CONTEXT_FULL_CORE_POST_RUN_v1/02_code/shared_utils/m07_pilot_helpers_v1.R,62afcc7a6fbfae999bae04da8823f17c101f313588da102ef4120bf4dc6dc9f5,BYTE_EXACT,L5_M07_FULL_CORE_POST_RUN_v1
04_code/Python/export_result_figures.py,"Figures 2-4 and S1",G8,8ec4172d268a9b0f6eb884a8564b049a0b761baffe25749a5c055b54d362f905,06_locked_results/reproducibility_archives/G8_RESULT_FIGURES_FINAL_v1/02_code/entry_scripts/g8_export_locked_figures_png_pdf_txt_v3.py,09dac452f12eb218e080c4d132301a7f12fb771c19bfe1298e9502d45844cc65,SEMANTIC_ENTRYPOINT_AND_PATH_ONLY_CURATED,"L6_G8_FINAL_FIGURE_CONTENT_v1;L7_G8_FINAL_FIGURE_VISUAL_AND_CODE_v1"
04_code/Python/export_result_figures_base.py,"Figures 2-4 and S1",G8,82299f2064062e3c0b32701c5c6d2557dc87c120527bc7def192264fa9a2b64d,06_locked_results/reproducibility_archives/G8_RESULT_FIGURES_FINAL_v1/02_code/modules/g8_export_locked_figures_png_pdf_txt_v1.py,85bdc4f4c7ae88ab7e0bd9ebb5148c3204f02502c5017843cd975677f93f781e,SEMANTIC_RENAME_AND_PATH_IMPORT_ONLY_CURATED,"L6_G8_FINAL_FIGURE_CONTENT_v1;L7_G8_FINAL_FIGURE_VISUAL_AND_CODE_v1"
